Field,Value
Start Time,2026-04-09T11:32:45.640882
Image Path,C:\Users\pc\Dropbox\School\UBC\Co-op\ICORD\Keysight_33000_FuncGen_and_Digitimer_D188_Control\Application_Files\Body-chart-1.png
Total Experiment Time (s),163

Trial Index,Electrode Config,Waveform,Polarity,Displayed Status,Number of Log Entries,Total Trial Time (s)
1,DO-I,Active,Normal,Sham,3,116
2,DO-C,Active,Normal,Sham,2,46
